post_id,post_title,post_description,department_id,department_name,label
51,राजू राम निवासी ग्राम हाट भुल्युडा गंगोलीहाट,पेयजल समस्या का समाधान किये जाने बाबत,232,अधिशासी अभियन्ता उत्तराखण्ड पेयजल निगम गंगोलीहाट,24
52,शंकर राम निवासी ग्राम खुलेत गंगोलीहाट,भूमि विवाद का समाधान किये जाने बाबत,2,पुलिस अधीक्षक कार्यालय पिथौरागढ़,4
53,त्रिभुवन सिंह भंडारी निवासी फुट्सिल गंगोलीहाट,पेयजल संयोजन किये जाने बाबत,232,अधिशासी अभियन्ता उत्तराखण्ड पेयजल निगम गंगोलीहाट,24
54,गोपाल सिंह बिष्ट निवासी बनेला गाँव गंगोलीहाट,बेलपत्टी  जल पम्पिंग योजना का कार्य प्राम्भ करवाए जाने बाबत,232,अधिशासी अभियन्ता उत्तराखण्ड पेयजल निगम गंगोलीहाट,24
55,उमाकांत द्विवेदी निवासी न्यू टकाना कॉलोनी पिथोरागढ़,घर के पिट को नगर निगम के सीवर लाइन में जोड़ने बाबत,168,नगर निगम  पिथौरागढ़,25
56,ललित बिष्ट निवासी ग्राम चौपाता देवलथल,विद्युत पोल अन्यत्र स्थानान्तरण बाबत,221,अधिशासी अभियंता विद्युत वितरण खण्ड धारचूला ,26
57,शंकर दत्त ओझा निवासी ग्राम दौला पिथोरागढ़',आर्थिक सहायता दिलाये जाने बाबत,8,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1
57,शंकर दत्त ओझा निवासी ग्राम दौला पिथोरागढ़',आर्थिक सहायता दिलाये जाने बाबत,12,तहसील पिथौरागढ़,0
58,"रेनू देवी एवं समस्त ग्रामवासी लेजम, डीडीहाट",ग्राम पंचायत लेजम में स्थित पंचायती चुनाव हेतु मतदान केंद्र राजकीय प्राथमिक विद्यालय लेजम कौली को पंचायत भवन लेजम में स्थानांतरित करने बाबत,178,जिला पंचायत राज अधिकारी  पिथौरागढ़,20
59,हरीश राम निवासी ग्राम पाभैं पिथौरागढ़,वाहन दुर्घटना में हुई म्रत्यु का मुआवजा मृतक के परिजनों को दिलाये जाने बाबत,242,सहायक संभागीय परिवहन अधिकारी पिथौरागढ़,27
60,लक्ष्मी दत्त चौसाली निवासी ग्राम कांडा डीडीहाट,चमू बैंड से चौबाटी सड़क मार्ग के ग्राम धुरौली में क्षतिग्रस्त सडक के मरम्मत बाबत,93,"अधिशासी अभियन्ता, प्रान्तीय खण्ड, लो0नि0वि0 डीडीहाट",28
61,होशियार गिरी निवासी ग्राम चम डूंगरा गंगोलीहाट,आवासीय मकान हेतु आर्थिक सहायता दिलाये जाने बाबत,184,उप जिलाधिकारी गंगोलीहाट,22
62,होशियार गिरी निवासी चम डूंगरा गंगोलीहाट,पंचायत भवन कि मरम्मत किये जाने बाबत,101,खण्ड विकास अधिकारी गंगोलीहाट,12
63,प्रिया सलोनी निवासी बिरगुल गंगोलीहाट,आवास का लाभ दिलाये जाने के सम्बन्ध में,101,खण्ड विकास अधिकारी गंगोलीहाट,12
64,शेर नाथ गोस्वामी एवं समस्त ग्रामवासी बुरसुम गंगोलीहाट,ग्रामसभा बुरसुम में सड़क का विस्तार किये जाने बाबत,94,अधिशासी अभियंता अ0ख0 लो0नि0वि0वेरीनाग,15
65,चन्दन वाणी जिला पंचायत सदस्य गणाई गंगोली,"गणाई गंगोली अंतर्गत महाविद्यालय, जल जीवन मिशन गुणवत्ता, तहसीलदार के रिक्त पद, मोटर मार्ग एवं विद्युत लाइन कि समस्याओ का समाधान किये जाने बाबत",94,अधिशासी अभियंता अ0ख0 लो0नि0वि0वेरीनाग,15
66,फ़कीर सिंह निवासी ग्राम खतीगाँव गंगोलीहाट,पित्रहीन बालिका के पालन पोषण हेतु सहायता प्रदान किये जाने बाबत,244,जिला प्रोबेशन अधिकारी पिथौरागढ़,29
67,दयाल कुमार निवासी हाट गंगोलीहाट,ततैयो के आतंक से निजात दिलाये जाने बाबत,3,"प्रभागीय वनाधिकारी कार्यालय, पिथौरागढ़ वन विभाग, पिथौरागढ़।",13
68,तरुण वर्मा चयनित वाहन चालक अधीनस्थ चयन आयोग देहरादून,वाहन चालक पद पर नियुक्ति बाबत,1,अपर जिलाधिकारी पिथौरागढ़,30
69,चन्द्रकला आगरी प्रधान ग्राम पंचायत फडीयाली गंगोलीहाट,सोलर लाइट उपलब्ध करवाए जाने बाबत,224,वरिष्ठ परियोजना अधिकारी उरेड़ा,3
70,सुरेश चन्द्र जोशी निवासी ग्राम नौ दूँगा गंगोलीहाट,सोलर लाइट उपलब्ध कराये जाने के सम्बन्ध में,224,वरिष्ठ परियोजना अधिकारी उरेड़ा,3
71,हरीश कुमार निवासी ग्राम पुनौली गंगोलीहाट,सडक डामरीकरण किये जाने बाबत,94,अधिशासी अभियंता अ0ख0 लो0नि0वि0वेरीनाग,15
72,सुन्दर सिंह अन्ना निवासी ग्राम डून्दू कनालीछीना,आम के पौधे मंगाए जाने बाबत,112,मुख्य उद्यान अधिकारी पिथौरागढ़,31
73,नरेश नाथ निवासी आवंलागढ़ा गंगोलीहाट,परिवार रजिस्टर में नाम दर्ज करने के सम्बन्ध में,101,खण्ड विकास अधिकारी गंगोलीहाट,12
73,नरेश नाथ निवासी आवंलागढ़ा गंगोलीहाट,परिवार रजिस्टर में नाम दर्ज करने के सम्बन्ध में,178,जिला पंचायत राज अधिकारी  पिथौरागढ़,20
74,दिवान राम निवासी ग्राम सलाण गंगोलीहाट,मकान कि छत बनवाने हेतु आर्थिक सहायता दिए जाने बाबत,101,खण्ड विकास अधिकारी गंगोलीहाट,12
75,"अध्यक्ष, महाकाली टैक्सी यूनियन गंगोलीहाट",निजी वाहनों द्वारा सवारी ढोने पर रोक बाबत,2,पुलिस अधीक्षक कार्यालय पिथौरागढ़,4
75,"अध्यक्ष, महाकाली टैक्सी यूनियन गंगोलीहाट",निजी वाहनों द्वारा सवारी ढोने पर रोक बाबत,242,सहायक संभागीय परिवहन अधिकारी पिथौरागढ़,27
76,चंद्रा देवी निवासी ग्राम जरमाल गाँव गंगोलीहाट,प्रधानमंत्री आवास दिलाये जाने बाबत,101,खण्ड विकास अधिकारी गंगोलीहाट,12
77,सुनीता देवी निवासी जरमाल गाँव गंगोलीहाट,प्रधानमन्त्री आवास दिलाये जाने बाबत,101,खण्ड विकास अधिकारी गंगोलीहाट,12
78,प्रधानाचार्य रा इ का गंगोलीहाट,विद्यालय कि भूमि से अवैध अतिक्रमण रोके जाने बाबत,184,उप जिलाधिकारी गंगोलीहाट,22
79,होशियार गिरी निवासी ग्राम चम डूंगरा गंगोलीहाट,भूमि का अतिक्रमण रोके जाने के सम्बन्ध में,184,उप जिलाधिकारी गंगोलीहाट,22
80,महेश राम निवासी पाताल भुवनेश्वर गंगोलीहाट,अनुसूचित जाती के व्यक्ति को भूमि ग्रान्ट में दिए जाने बाबत,184,उप जिलाधिकारी गंगोलीहाट,22
81,राजेंद्र सिंह एवं समस्त ग्रामवासी अनर गाँव गंगोलीहाट,प्राथमिक विद्यालय अनर गाँव का पुनर्निर्माण कराये जाने बाबत,192,मुख्य शिक्षा अधिकारी पिथौरागढ़,21
82,गोविन्द सिंह महरा सामाजिक कार्यकर्ता ग्राम व पो चिटगल गंगोलीहाट,अधूरी पेयजल योजना का कार्य पूर्ण किये जाने बाबत,217,अधीक्षण अभियन्ता उत्तराखण्ड पेयजल निगम  पिथौरागढ़,32
82,गोविन्द सिंह महरा सामाजिक कार्यकर्ता ग्राम व पो चिटगल गंगोलीहाट,अधूरी पेयजल योजना का कार्य पूर्ण किये जाने बाबत,232,अधिशासी अभियन्ता उत्तराखण्ड पेयजल निगम गंगोलीहाट,24
83,जगत सिंह खाती पूर्व नगरपालिका अध्यक्ष पिथोरागढ़,2006 में स्वीकृत पुलिया का निर्माण किये जाने बाबत,94,अधिशासी अभियंता अ0ख0 लो0नि0वि0वेरीनाग,15
84,माधवी देवी निवासी उड़ई पिथोरागढ़,मानदेय भुगतान बाबत,198,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11
85,रविन्द्र नाथ निवासी ग्राम चेंसर पिथोरागढ़,ग्राम चेंसर में एल पी जी गैस आपुर्ति किये जाने बाबत,194,जिला पूर्ति अधिकारी  पिथौरागढ़,14
86,विरेन्द्र सिंह रावल अध्यापक रा ई का जजौली गंगोलीहाट,वेतन आहरित किये जाने बाबत,192,मुख्य शिक्षा अधिकारी पिथौरागढ़,21
87,गोपुली देवि निवासी महाकाली मंदिर रोड गंगोलीहाट,"परिवार रजिस्टर, राशन कार्ड, वोटर कार्ड बनवाए जाने बाबत",194,जिला पूर्ति अधिकारी  पिथौरागढ़,14
88,शंकर सिंह बोरा पूर्व क्षेत्र पंचायत सदस्य बलातरी गंगोलीहाट,वघर डोबाल खेत मोटर मार्ग में डामरीकरण बाबत,94,अधिशासी अभियंता अ0ख0 लो0नि0वि0वेरीनाग,15
89,शंकर सिंह बोरा पूर्व क्षेत्र पंचायत सदस्य बालातरी गंगोलीहाट,सिन कोटेश्वर महादेव  गुफा से त्र्यम्बकेश्वर महादेव मिलान रौकड़ तक ०६ कि०मी सड़क स्वीक्रत कर मा० मुख्यमंत्री घोषणा में शामिल करने बाबत,94,अधिशासी अभियंता अ0ख0 लो0नि0वि0वेरीनाग,15
90,शिव दत्त भट्ट गौसेवक पिथोरागढ़,पुरानी गौशाला का सुधारीकरण किये जाने बाबत,168,नगर निगम  पिथौरागढ़,25
91,सुनील कुमार कोहली अध्यक्ष टीम पुस्तकालय पिथोरागढ़,पुस्तकालय समिति का मार्गदर्शन व सहायता किये जाने बाबत,192,मुख्य शिक्षा अधिकारी पिथौरागढ़,21
92,रेवती देवी निवासी ग्राम बजेटी पिथौरागढ़,परिजनों द्वारा आवेदिका को उनके हक़ हिस्से कि भूमि में भवन निर्माण करने में बाधा डाले जाने बाबत,2,पुलिस अधीक्षक कार्यालय पिथौरागढ़,4
93,शीला देवी निवासी पीपल तरा बलतरी पिथोरागढ़,पी एम् किसान निधि कि धनराशी दिलाये जाने बाबत,189,मुख्य कृषि अधिकारी पिथौरागढ,33
94,मंजू बाला निवासी निकट पेट्रोल पम्प पिथोरागढ़,सुरक्षा दीवार का निर्माण किये जाने बाबत,213,अधिशासी अभियंता एन एच लोक निर्माण विभाग लोहाघाट,34
95,हिमांशु मपवाल निवासी ग्राम मुनस्यारी पिथौरागढ़ द्वारा लाव्राज कुमार युवा कांग्रेस अध्यक्ष,विकासखण्ड मुनस्यारी के ग्रामसभा खासिय बाड़ा में व्याप्त समस्याओ का निराकरण बाबत,90,अधीक्षण अभियंता पी०एम-जी०एस०वाइ० वृत्त लो0नि0वि0 पिथौरागढ़,6
96,हिमांशु मपवाल निवासी मुनस्यारी द्वारा लावराज कुमार युवा कांग्रेस अध्यक्ष,ग्रामसभा खसिया वाडा कि समस्याओ के सम्बन्ध में,203,परियोजना प्रवन्धक  स्वजल पिथौरागढ़,7
97,गंगा देवी निवासी ग्राम व पोस्ट बीसबजेड पिथौरागढ़,राशन कार्ड में नाम दर्ज करने बाबत,194,जिला पूर्ति अधिकारी  पिथौरागढ़,14
98,निगार पुत्री मोहम्मद नियाज निवासी पुरानी बाज़ार पिथौरागढ़,पारिवारिक पेंशन का लाभ दिए जाने बाबत,11,"वरिष् कोषाधिकारी कार्यालय, पिथौरागढ़",35
98,निगार पुत्री मोहम्मद नियाज निवासी पुरानी बाज़ार पिथौरागढ़,पारिवारिक पेंशन का लाभ दिए जाने बाबत,192,मुख्य शिक्षा अधिकारी पिथौरागढ़,21
99,पार्वती देवी निवासी ग्राम दौड़ा कनालीछीना,आवास दिलाये जाने बाबत,105,खण्ड विकास अधिकारी कनालीछीना,36
100,हिमांशु चुफाल सरपंच वन पंचायत सींनी डीडीहाट,ग्रामसभा सीनी के झोलपानी में पुलिया निर्माण बाबत,110,अधिशासी अभियन्ता ग्रा0अ0से0अस्थाई प्रखण्ड डीडीहाट,37
100,हिमांशु चुफाल सरपंच वन पंचायत सींनी डीडीहाट,ग्रामसभा सीनी के झोलपानी में पुलिया निर्माण बाबत,215,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़ ,2
101,हिमांशु चुफाल सरपंच वन पंचायात सीनी डीडीहाट,खतेडा सिनी व चामा मोटर मार्ग निर्माण बाबत,3,"प्रभागीय वनाधिकारी कार्यालय, पिथौरागढ़ वन विभाग, पिथौरागढ़।",13
101,हिमांशु चुफाल सरपंच वन पंचायात सीनी डीडीहाट,खतेडा सिनी व चामा मोटर मार्ग निर्माण बाबत,93,"अधिशासी अभियन्ता, प्रान्तीय खण्ड, लो0नि0वि0 डीडीहाट",28
102,सुनीता देवी प्रधान ग्राम पंचायत टांगा मुनस्यारी,मोटर मार्ग में पुल का निर्माण किये जाने बाबत,93,"अधिशासी अभियन्ता, प्रान्तीय खण्ड, लो0नि0वि0 डीडीहाट",28
103,हिमांशु चुफाल सरपंच वन पंचायात सीनी डीडीहाट,आदिचौरा-सीनी-चामा-बनारी संपर्क मार्ग पुनर्निर्माण बाबत,93,"अधिशासी अभियन्ता, प्रान्तीय खण्ड, लो0नि0वि0 डीडीहाट",28
104,शीतल निवासी भाटकोट पिथौरागढ़,पति व सास द्वारा घर से निकाले जाने पर उन्हें न्याय दिलाने बाबत,2,पुलिस अधीक्षक कार्यालय पिथौरागढ़,4
105,शिव दत्त एवं अन्य निवासी सतगढ कनालीछीना,कनालीछीना-सतगढ मोटर मार्ग निर्माण हेतु गलत खेतो कि रजिस्ट्री होने बाबत,230,तहसील कनालीछीना,38
106,श्याम लाल एवं समस्त ग्रामवासी पुराण विकासखंड बिण पिथौरागढ़,सरकारी राशन समय पर उपलब्ध कराये जाने बाबत,194,जिला पूर्ति अधिकारी  पिथौरागढ़,14
107,मनोज जोशी Cy Net Computer&Sports pithoragarh,विगत एक वर्ष से बिलों का भुगतान न होने बाबत,129,अधिशासी अभियन्ता सिंचाई निर्माण खण्ड पिथौरागढ़,39
108,सुनीता देवी प्रधान ग्राम पंचायत टांगा मुनस्यारी,दानी बगर से लोदी तक डामरी करण किये जाने बाबत,93,"अधिशासी अभियन्ता, प्रान्तीय खण्ड, लो0नि0वि0 डीडीहाट",28
109,रेनू नगरकोटी निवासी दौला विण पिथौरागढ़,आर्थिक सहायता दिलाये जाने बाबत,8,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1
109,रेनू नगरकोटी निवासी दौला विण पिथौरागढ़,आर्थिक सहायता दिलाये जाने बाबत,12,तहसील पिथौरागढ़,0
110,संजय कोहली निवासी विण पिथौरागढ़,वर्षाती नाले का निर्माण कराये जाने बाबत,8,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1
110,संजय कोहली निवासी विण पिथौरागढ़,वर्षाती नाले का निर्माण कराये जाने बाबत,11,"वरिष् कोषाधिकारी कार्यालय, पिथौरागढ़",35
111,श्रवण कुमार बुसिन प्राइवेट लिमिटेड पिथोरागढ़,आँगन बाड़ी केन्द्रों में पेंटिंग हेतु पुनः निविदा कराये जाने बाबत,192,मुख्य शिक्षा अधिकारी पिथौरागढ़,21
112,बीर सिंह निवासी कृष्णापूरी वार्ड पिथोरागढ़,निकासी नाले का निर्माण कराये जाने बाबत,168,नगर निगम  पिथौरागढ़,25
113,अमित कार्की पुत्र श्री नरेन्द्र सिंह कार्की सेवानिवृत्त कार्मिक जल निगम पिथोरागढ़,सेवानिवृति उपरान्त देय धनराशी का भुगतान बाबत,216,अधिशासी अभियन्ता नि0म0 पेयजल निगम पिथौरागढ़,40
113,अमित कार्की पुत्र श्री नरेन्द्र सिंह कार्की सेवानिवृत्त कार्मिक जल निगम पिथोरागढ़,सेवानिवृति उपरान्त देय धनराशी का भुगतान बाबत,217,अधीक्षण अभियन्ता उत्तराखण्ड पेयजल निगम  पिथौरागढ़,32
114,समस्त ग्रामवासी थरकोट पिथौरागढ़,ग्राम पंचायत थरकोट में व्यक्ति विशेष हेतु जिला पंचायत द्वारा धन का दुरुपयोग किये जाने बाबत,136,जिला पंचायत पिथौरागढ,41
115,विरेन्द्र सिंह कन्याल निवासी डीडीहाट,पाला संभवित सड़क में चूने का छिडकाव किये जाने बाबत,7,"उप जिलाधिकारी कार्यालय, डीडीहाट",42
116,शुभम रावत निवासी सरस्वती विहार कॉलोनी पिथौरागढ़,जी आई सी सुकौली मोटर मार्ग में सड़क चौडीकरण के दौरान टूटे हैण्ड पम्पो के पुनर्विस्थापन बाबत,193,अधिशासी अभियन्ता उत्तराखण्ड जल संस्थान पिथौरागढ़,43
117,दीवान सिंह सहकारी सस्ता गल्ला विकास समिति पिथोरागढ़,राशन कार्ड धारक द्वारा धमकी दिए जाने बाबत,194,जिला पूर्ति अधिकारी  पिथौरागढ़,14
118,मदन लाल अध्यक्ष अनुसूचित मोर्चा मंडल कनालीछीना,अम्बेडकर ग्राम लीमातौडा मोटर मार्ग में सोलिंग एवं डामरीकरण किये जाने बाबत,95,अधिशासी अभियंता लो0नि0वि0 अस्कोट,5
119,शुभम भट्ट अध्यक्ष युवक मंगल दल विषाड पिथौरागढ़,आपदा से क्षतिग्रस्त पेयजल लाइन मरम्मत बाबत,215,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़ ,2
120,खीम सिंह धामी ग्राम व पो गर्गुवा धारचूला,"धौलीगंगा बाँध में पडिल वोटिंग, मोटर वोटिंग हेतु प्रशिक्षण दिए जाने बाबत",200,जिला पर्यटन विकास अधिकारी,17
